"hgy_external_id","hyrox_official_name","name","slug","brand_ref","brand_resolution","postal_code","prefecture","city","address_line","latitude","longitude","official_url","source_url","location_type","last_verified_at","stale_at","collision_status","candidate_hash"
"HGY_0PfI4t6UgVADRV7RfgXX48PR8","Yoshiyuki Hirano 善之 平野","Yoshiyuki Hirano 善之 平野","yoshiyuki-hirano-5770002","brand:yoshiyuki-hirano","NEW_SINGLE_LOCATION_BRAND","5770002","大阪府","東大阪市","577-0002, osaka, higashiosakashi, 1-3-25, inadauemachi","34.692082","135.5818466","https://www.field-gym.com/higashiosaka/","https://hyrox-training-finder.hyrox.com/gym/HGY_0PfI4t6UgVADRV7RfgXX48PR8","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","92f1405021ae4c72b34daa2f97a87cee1deecb937fe02d2cc07aee9757bc2d58"
"HGY_1kQTLdyeblDc6Nbt13qiH5oib","RESTORE BASE","RESTORE BASE","restore-base-2310806","brand:restore-base","NEW_SINGLE_LOCATION_BRAND","2310806","神奈川県","横浜市中区","2310806, Yokohama, Naka-ward honmoku 2-325","35.4299757","139.6611923","https://restorebase.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_1kQTLdyeblDc6Nbt13qiH5oib","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","aed6ce594cd2ee016d93ec4aca2691a1f01a596b20d4831d1da8b936aa43d978"
"HGY_4GF2DeDJoIzNRU4jn9scAv65V","CLUB 360","CLUB 360","club-360-1060046","brand:club-360","NEW_SINGLE_LOCATION_BRAND","1060046","東京都","港区","106-0046, Minato City, Vort Building B1","35.6580259","139.7275425","https://www.club360.jp/hyrox","https://hyrox-training-finder.hyrox.com/gym/HGY_4GF2DeDJoIzNRU4jn9scAv65V","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","31892188b035cc5ecad0dba419a0bbaa7f64c3437ef20ae7ef579847df1f2e77"
"HGY_4wRU1wOwpCjXj6RwKZq46kVfA","UBX Gakugeidaigaku","UBX 学芸大学","ubx-1520004","brand:ubx","NEW_SINGLE_LOCATION_BRAND","1520004","東京都","目黒区","1520004, Meguro-ku, Tokyo, Mansion Takaban BF, 2-4-7 Takaban","35.6288146","139.6894208","https://www.provanet.co.jp/business/ubx/","https://hyrox-training-finder.hyrox.com/gym/HGY_4wRU1wOwpCjXj6RwKZq46kVfA","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","ba1adfeff1db573aa0763aa0d8b1127714279a8a17c93bf226492cbf43bbe450"
"HGY_6lR3pcwsQaSGSlsQTdrNrO1jc","FITONE SHIBUYA","FITONE SHIBUYA","fitone-shibuya-1500011","brand:fitone-shibuya","NEW_SINGLE_LOCATION_BRAND","1500011","東京都","渋谷区","150-0011, Shibuya, 2-17-9 Higashi, Shibuya-ku","35.6523533","139.7091351","https://fitone-club.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_6lR3pcwsQaSGSlsQTdrNrO1jc","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","4640a5e3af1e66dec0dcb0646dcc81bd23afab57ee1c45680c698c5800d691c8"
"HGY_6okPO396AJbISj7LTMTlrkEPD","SamiFitness","SamiFitness","samifitness-1060047","brand:samifitness","NEW_SINGLE_LOCATION_BRAND","1060047","東京都","港区","1060047, Tokyo, Minami Azabu 5-2-9","35.6551108","139.7248078","https://samifitnesstokyo.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_6okPO396AJbISj7LTMTlrkEPD","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","a150cd4cf84e41cb398c8f315c39c00caaf08e861d6ce91f6870cb14e9c29ed3"
"HGY_7FDA3W6p88v6evTHGBhfHFrvP","LUAANA CLUB","LUAANA CLUB 蒲田池上店","luaana-club-1460082","brand:luaana-club","NEW_SINGLE_LOCATION_BRAND","1460082","東京都","大田区","1460082, Ota-ku, 7-10-10 Ikegami","35.5715997","139.7018007","https://www.luaanaclub.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_7FDA3W6p88v6evTHGBhfHFrvP","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","937902179d050a25c6213905d6b129c2c2e477b7c5c65a969b9d51920fb3a9d3"
"HGY_7MJZO3Hp7vJJplWi30g6yPwIZ","Good Habit daikanyama","Good Habit daikanyama","good-habit-daikanyama-1500033","brand:good-habit-daikanyama","NEW_SINGLE_LOCATION_BRAND","1500033","東京都","渋谷区","1500033, shibuyaku, 9-2 レ・ミストラルdaikanyamaB1F","35.650957","139.7033232","https://g-habit.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_7MJZO3Hp7vJJplWi30g6yPwIZ","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","4f9c5db683b6b026a5100e3926fa4f165dcf5d70b8ae0a15a599392fd24a42dc"
"HGY_8sKmKHEiaR8tARb6zZUUbaYjU","ジムフィールド所沢スタジオ","ジムフィールド 所沢スタジオ","hyrox-training-club-3590023","brand:gym-field","NEW_CHAIN_BRAND","3590023","埼玉県","所沢市","3590023, 所沢市, 東所沢和田３丁目３１−３","35.7970394","139.5070773","https://www.gym-field.com/studio/","https://hyrox-training-finder.hyrox.com/gym/HGY_8sKmKHEiaR8tARb6zZUUbaYjU","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","3b6b8b877c1241a53f9e0fbbfab770b6ccaccdce3365d2d03eba7dad26fcb9b1"
"HGY_9IKMUsTNBlBvTvkWFddMxqsEg","Personalgym VITA","Personalgym VITA","personalgym-vita-4440858","brand:personalgym-vita","NEW_SINGLE_LOCATION_BRAND","4440858","愛知県","岡崎市","4440858, Okazaki-shi, 2F,2-7-16,kamimutsuna","34.9499922","137.1544904","https://vita-e.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_9IKMUsTNBlBvTvkWFddMxqsEg","bodymake_gym","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","49493f99a05f088f247afc5346a590120608eedc7c4eecf76601f9f21da7d8de"
