"hgy_external_id","hyrox_official_name","final_classification","matched_location_id","matched_location_slug","canonical_facility_url","official_site_status","canonical_name","address","postal_code","prefecture","city","address_verification_status","latitude","longitude","coordinate_confidence","brand_resolution","proposed_brand_id","proposed_brand_name","proposed_brand_slug","proposed_slug","proposed_location_type","match_method","reasons","conflicts","source_authorities","manual_review_required"
"HGY_vVcITNYTt6vBwAbMaLQj58wcw","A Plus CrossFit Takatsuki","NEW_LOCATION_NEEDS_REVIEW","","","https://apf-takatsuki.vercel.app/","noncanonical","A Plus CrossFit Takatsuki","5691121, Takatsuki, 1-15-22 Makamicho","5691121","","Takatsuki","source_only","34.8548022","135.611727","high","INDEPENDENT_FACILITY","","A Plus CrossFit Takatsuki","a-plus-crossfit-takatsuki","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website","true"
"HGY_iZUzR5DRBK3M09AkhPf9nIWcF","ableize+","NEW_LOCATION_NEEDS_REVIEW","","","https://www.instagram.com/ableize_plus?igsh=MWlqdWdmNjl0bTFheg%3D%3D&utm_source=qr","noncanonical","ableize+","460-0002, 名古屋市, 中区丸の内2-15-11","460-0002","","名古屋市","source_only","35.1748287","136.8989643","medium","INDEPENDENT_FACILITY","","ableize+","ableize","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website","true"
"HGY_w1kFjCWRyoM7EmvP3I9DYLtEt","Anim Movement Club","NEW_LOCATION_NEEDS_REVIEW","","","","missing","Anim Movement Club","1560032, Setagaya, Daizawa2-40-10","1560032","","Setagaya","source_only","35.6468095","139.653582","medium","INDEPENDENT_FACILITY","","Anim Movement Club","anim-movement-club","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_IXvBUmAfS03dK1N7KeulKnC6O","ANYTIME FITNESS NAGAOKAKYO","NEW_LOCATION_READY","","","https://www.anytimefitness.co.jp/nagaokakyo/","verified","ANYTIME FITNESS NAGAOKAKYO","6170826, 長岡京市, 開田4-22-5","6170826","京都府","長岡京市","postal_authority_resolved","34.92221970000001","135.6935862","high","NEW_BRAND_CANDIDATE","","Anytime Fitness","anytime-fitness","anytime-fitness-nagaokakyo","fitness_club","official-site-postal-identity","HYROX governing-body Training Finder record has a stable HGY identity | Facility official website confirms the facility identity and address signal | Postal authority resolves prefecture and city","","HYROX governing-body Training Finder | facility official website | postal address lookup","false"
"HGY_tvAvxxWuvtyhwO9dVyMWgnozo","Anytimefitness Urawanakao","NEW_LOCATION_NEEDS_REVIEW","","","","missing","Anytimefitness Urawanakao","336-0932, Nakao, Midori-ku, Saitama-shi,Saitama, 524-1","336-0932","埼玉県","Nakao, Midori-ku, Saitama-shi,Saitama","source_only","35.8778307","139.6775239","medium","NEW_BRAND_CANDIDATE","","Anytime Fitness","anytime-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_AtvMure1xIvHhFKf1bEcOksKK","ARQ","NEW_LOCATION_NEEDS_REVIEW","","","","missing","ARQ","1020074, Tokyo, Kudanshita Minami 2-3-23","1020074","東京都","Tokyo","source_only","35.694056","139.7462529","medium","INDEPENDENT_FACILITY","","ARQ","arq","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_sm5NKgjNHsZ3iblInhUUK5sXp","B-fitPrime服部緑地","NEW_LOCATION_NEEDS_REVIEW","","","","missing","B-fitPrime服部緑地","561-0873, 大阪府, 大阪府豊中市服部緑地1番68号SPA&SAUNA水春服部緑地1F","561-0873","大阪府","大阪府","source_only","34.7776971","135.4932183","medium","INDEPENDENT_FACILITY","","B-fitPrime服部緑地","b-fitprime","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_wre6YfUPBNkfwFN4kIJmeR5gk","B-Revolution×溝の口整体院","NEW_LOCATION_NEEDS_REVIEW","","","https://mizonoguchi-chiro.com/","insufficient_identity_evidence","B-Revolution×溝の口整体院","213-0001, 神奈川県, 川崎市, 高津区溝の口 3-9-3佐保田ビルB1","213-0001","神奈川県","川崎市","source_only","35.6036072","139.6145092","medium","INDEPENDENT_FACILITY","","B-Revolution×溝の口整体院","b-revolution","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Official website did not expose enough name/address evidence for deterministic identity","HYROX governing-body Training Finder | facility official website","true"
"HGY_qaUKe9XHM4Dt1rhd2sHFQEumQ","BANYAN ROOTS Fitness","NEW_LOCATION_NEEDS_REVIEW","","","","missing","BANYAN ROOTS Fitness","9012401, 中頭郡中城村, 久場1955","9012401","沖縄県","中頭郡中城村","postal_authority_resolved","26.2853566","127.8160502","medium","INDEPENDENT_FACILITY","","BANYAN ROOTS Fitness","banyan-roots-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder | postal address lookup","true"
"HGY_KXsKkigAHxENjfO8pM4ocl6FF","Beequick Fitness　Fuji imaizumi","NEW_LOCATION_NEEDS_REVIEW","","","https://www.beequick.jp/location/fujiimaizumi/","verified","Beequick Fitness　Fuji imaizumi","417-0001, Fuji-shi, imaizumi3-5-1","417-0001","","Fuji-shi","source_only","35.1658296","138.6958927","high","NEW_BRAND_CANDIDATE","","BeeQuick Fitness","beequick-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_YZfgVtrVZUDXC2kDU4ctStVOk","Beequick Fitness　Iga Ninjyanosato","NEW_LOCATION_NEEDS_REVIEW","","","https://www.beequick.jp/location/iganinjanosato/","verified","Beequick Fitness　Iga Ninjyanosato","518-0820, iga-shi, hiranonishimachi63","518-0820","","iga-shi","source_only","34.773136","136.1359615","high","NEW_BRAND_CANDIDATE","","BeeQuick Fitness","beequick-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_sbFQoJaYts6eUUShzWUC6e8sv","Beequick Fitness　Kasugai  oshisawadai","NEW_LOCATION_NEEDS_REVIEW","","","https://www.beequick.jp/location/kasugaioshizawadai/","verified","Beequick Fitness　Kasugai  oshisawadai","487-0005, Aichi-ken Kasugai-shi, Oshisawadai 1-7-24","487-0005","愛知県","Aichi-ken Kasugai-shi","source_only","35.2858018","137.0646056","high","NEW_BRAND_CANDIDATE","","BeeQuick Fitness","beequick-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
