"hgy_external_id","hyrox_official_name","name","slug","brand_ref","postal_code","prefecture","city","address_line","latitude","longitude","official_url","source_url","location_type","last_verified_at","stale_at","candidate_hash"
"HGY_C0V7CK7K15SLUrMhBvyyO0phM","g-zone PARK","g-zone PARK","g-zone-park","brand:g-zone","6150933","京都府","京都市右京区","615-0933, 京都府, 京都市右京区梅津後藤町1-3","35.0032571","135.7020504","https://g-zone.co.jp/park/","https://hyrox-training-finder.hyrox.com/gym/HGY_C0V7CK7K15SLUrMhBvyyO0phM","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","73ff9a6f29e80f853da1c209d8e5ffa022ab83874b3b7000de0fb4d71b68a581"
"HGY_c816ru6QeTv14At3O51pjK8au","Takamatsu CrossFit","Takamatsu CrossFit","takamatsu-crossfit","brand:takamatsu-crossfit","7618056","香川県","高松市","7618056, 高松市, 上天神町634","34.3111792","134.0363775","https://takamatsu-crossfit.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_c816ru6QeTv14At3O51pjK8au","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","8e7845813a75a7624ae730cdb62aa941fa07608a6c827ce1fef32bca001f212b"
"HGY_Cl8QF5olON4Y0D7mho4iGg34L","CrossFit Ashiya","CrossFit Ashiya","crossfit-ashiya","brand:crossfit-ashiya","6590013","兵庫県","芦屋市","659-0013, Ashiya,HYOGO, 7-5 Iwazono-cho","34.7413476","135.3114397","https://crossfitashiya.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_Cl8QF5olON4Y0D7mho4iGg34L","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","29ff6219f10449156a5584d9f691b10637e578ca65b9f42ddc9c53428be4eea4"
"HGY_e48JpyZiFH8V9aqp7zJ8ouQju","Beequick Fitness　Sanda","Beequick Fitness　Sanda","beequick-fitness-sanda","brand:beequick-fitness","6691321","兵庫県","三田市","669-1321, Hyogo-ken Sanda-shi, keyakidai 1-6-2","34.908318","135.1865807","https://www.beequick.jp/location/sanda/","https://hyrox-training-finder.hyrox.com/gym/HGY_e48JpyZiFH8V9aqp7zJ8ouQju","fitness_club","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","55c85def1e1b16a8299003b4596dec8bdefb9c83378b71b1322a3d85585cb8a3"
"HGY_gdqY3Z5sigmQLLGmSGbjG26sR","STANCE FITNESS ２ND","STANCE FITNESS ２ND","stance-fitness-2nd","brand:stance-fitness","6008387","京都府","京都市下京区","6008387, 京 都 市, 下 京 区 高 辻 大 宮 町 1 0 3 大 宮 高 辻 ビ ル 2 階","35.0001186","135.7491414","https://stance-design.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_gdqY3Z5sigmQLLGmSGbjG26sR","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","cd3b480deb826b0a2dc4f7fb703361fb1d8e68db72b7f67005d87f974fdf6245"
"HGY_gp7GcAxbIZtxk5KpvoDwAOOcr","Improve KYOTO","Improve KYOTO","improve-kyoto","brand:improve-kyoto","6048221","京都府","京都市中京区","6048221, 京都, B1F, 280 Tenjinyama-cho, Nishikikoji-dori Muromachi Nishi-iru, Nakagyo-ku","35.005198","135.7572444","https://improve-hyrox.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_gp7GcAxbIZtxk5KpvoDwAOOcr","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","2d21a15973de40d29a945764602265a28f480e7a8d40802259f84b4b04b1a55f"
"HGY_GyudKibCcLKI0LIwxnYTcv2Te","CrossFit Rakuhoku","CrossFit Rakuhoku","crossfit-rakuhoku","brand:crossfit-rakuhoku","6068004","京都府","京都市左京区","606-8004, Kyoto, 7-1 Yamabanakawabatacho","35.0511036","135.7898774","https://crossfitrakuhoku.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_GyudKibCcLKI0LIwxnYTcv2Te","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","76171377e437f157e6d282dca94ecb8b169b4fc321a49884bf90fd60af5eb060"
"HGY_IXvBUmAfS03dK1N7KeulKnC6O","ANYTIME FITNESS NAGAOKAKYO","ANYTIME FITNESS NAGAOKAKYO","anytime-fitness-nagaokakyo","brand:anytime-fitness","6170826","京都府","長岡京市","6170826, 長岡京市, 開田4-22-5","34.92221970000001","135.6935862","https://www.anytimefitness.co.jp/nagaokakyo/","https://hyrox-training-finder.hyrox.com/gym/HGY_IXvBUmAfS03dK1N7KeulKnC6O","fitness_club","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","58caf12aa57d48cb920fdce8facab1ac8e000aab1b07f485855be1be62a18e50"
"HGY_kCFMRp8Q0qOkn2iMEYikZq4Kg","CrossFit Kumamoto","CrossFit Kumamoto","crossfit-kumamoto","brand:crossfit-kumamoto","8600822","熊本県","熊本市中央区","8600822, Kumamoto, 331-1 Motoyamamachi Chuo-ku","32.7877427","130.6964067","https://www.crossfitkumamoto.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_kCFMRp8Q0qOkn2iMEYikZq4Kg","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","4cba7c274b9c72bd3efaf61d3a5c3d394e229ee4eaf4834967e6639f3a29a2d9"
"HGY_Kg433w73iQIbSdY97CXEbzUk9","CrossFit Otoyo Strength","CrossFit Otoyo Strength","crossfit-otoyo-strength","brand:crossfit-otoyo-strength","7890166","高知県","長岡郡大豊町","7890166, Kochi, 317-1 Higashidoi, Otoyo-cho, Nagaoka-gun","33.7937737","133.7574224","https://www.otoyostrength.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_Kg433w73iQIbSdY97CXEbzUk9","fitness_studio","2026-08-29T13:50:28.000Z","2026-11-27T13:50:28.000Z","fbb1b3b5145bd5c0de96db1f9f7cded8ddd4cb18b0bdde1f1c58f8a92403eb77"
