"hgy_external_id","hyrox_official_name","original_blocker","facility_authority_url","postal_code","prefecture","city","canonical_name","matched_location_id","matched_location_slug","proposed_slug","final_classification","resolution_reason","unresolved_gaps"
"HGY_0PfI4t6UgVADRV7RfgXX48PR8","Yoshiyuki Hirano 善之 平野","POSTAL_AUTHORITY_GAP","https://www.field-gym.com/higashiosaka/","5770002","大阪府","東大阪市","Yoshiyuki Hirano 善之 平野","","","yoshiyuki-hirano-5770002","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_1kQTLdyeblDc6Nbt13qiH5oib","RESTORE BASE","POSTAL_AUTHORITY_GAP","https://restorebase.jp/","2310806","神奈川県","横浜市中区","RESTORE BASE","","","restore-base-2310806","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_38HM0vs5mKnIfKg8sHrNzl2KU","ReXeR Osaka","OFFICIAL_SITE_UNREACHABLE","https://rexer.style/","5410051","大阪府","大阪市中央区","ReXeR Osaka","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_4GF2DeDJoIzNRU4jn9scAv65V","CLUB 360","POSTAL_AUTHORITY_GAP","https://www.club360.jp/hyrox","1060046","東京都","港区","CLUB 360","","","club-360-1060046","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_4Kx194vI1vYN16zNDOfdmVGfx","HYROX365 BC Michiko","MISSING_OFFICIAL_URL","","2160042","神奈川県","川崎市宮前区","HYROX365 BC Michiko","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_4wRU1wOwpCjXj6RwKZq46kVfA","UBX Gakugeidaigaku","MISSING_OFFICIAL_URL","https://www.provanet.co.jp/business/ubx/","1520004","東京都","目黒区","UBX 学芸大学","","","ubx-1520004","NEW_LOCATION_READY","Official operating-company page identifies 学芸大学 and 鷹番2-4-7.",""
"HGY_4wzLJEobhMazi7FA0AThO0VCo","NIG Training Club","OFFICIAL_SITE_UNREACHABLE","https://hyrox.nigh.biz/","8800925","宮崎県","宮崎市","NIG Training Club","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_5aNZOChK8CavnIRpCdStNa0KU","CrossFit Uninterrupted Collective","IDENTITY_ADDRESS_INSUFFICIENT","https://www.crossfituninterrupted.com/","1580094","東京都","世田谷区","CrossFit Uninterrupted Collective","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_5Gn5GvfvOjcSrI8A5IoBZkV4I","HYX Gym NAGOYA","MISSING_OFFICIAL_URL","","4860967","愛知県","春日井市","HYX Gym NAGOYA","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_69jFpAIGuEf6xNAHdTpSEBIwR","TLS FITNESS MUSASHISEKI","SOCIAL_BOOKING_HOSTED_ONLY","https://www.instagram.com/tlsfitnesshyroxtrainingclub/","1770051","東京都","練馬区","TLS FITNESS MUSASHISEKI","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_6lR3pcwsQaSGSlsQTdrNrO1jc","FITONE SHIBUYA","MISSING_OFFICIAL_URL","https://fitone-club.com/","1500011","東京都","渋谷区","FITONE SHIBUYA","","","fitone-shibuya-1500011","NEW_LOCATION_READY","Official facility site confirms FITONE SHIBUYA and 渋谷区東2-17-9.",""
"HGY_6okPO396AJbISj7LTMTlrkEPD","SamiFitness","POSTAL_AUTHORITY_GAP","https://samifitnesstokyo.com/","1060047","東京都","港区","SamiFitness","","","samifitness-1060047","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
