hgy_id,location_slug,target_type,target_slug,classification,quality,source_url,evidence_hash
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,capability,competition-simulation,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,0356e4f1f36b7185739c458610f2ac5876560a426f53b6999dbbe9cff896bb3d
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,09872330185b213d46cfe09269a4ac5e8839a58ea400badedd0c7d2fe6e26e66
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,d78b37cca6f4b51e3a607440eecf65f8963c5d25d2552dcb0ce80fc906b303b1
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,0e68a518a6fa8380fce90787fbf300cc3c830a3ecd376a1e709925c1a6a59afc
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,sandbag,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,7b23861ca45a9d38c87182f789b871b65e5e528d011ec23c188a7012e34bd648
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,ski-erg,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,21fa7a86f13d6793d84835cebbe60c2a6b3b2f0f6a3c9ef790a3743ff70245cb
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,wall-ball-target,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,cf73f25078976717b7002a388e70e09239fdf84fae357bcbbe3a6ec167696089
HGY_0PfI4t6UgVADRV7RfgXX48PR8,yoshiyuki-hirano-5770002,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q2,https://www.field-gym.com/hyrox/,51a639398145a65c166fd31c8f10c025f505180aaca33933cfcfc6aed5295269
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q1,https://restorebase.jp/hyrox-class/,35e3d869ecf99c94fce86f1eb5fd843d394f5ae0a5c1c23fa52c7d5d7371083b
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,capability,open-training,CONFIRMED_CANDIDATE,Q1,https://restorebase.jp/appointment_trial/,acd873dbf6bcca881adff6509716e877af6608ad0b7c48bce4dc198c001864c7
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,farmers-carry-implements,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,1060d79f45cbdb831b20ee5cceab2a0c45cbe8786ff61b91a1c1612faf989c12
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,row-erg,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,867b8544c5482465ca703fcdebbf184f8993bfd9f75820a1a960ae5a5ba03dcb
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,sandbag,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,64651d043b43856510d19f594684b49ea08dca1ff461d667e2ed11b482c55434
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,ski-erg,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,d47aa4942dbda84bf30936a4046b12c47071777338c9603f07fd33f04028819b
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,wall-ball-target,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,024892fc480b75bd47c6d5434bacb43607aaac6bb10386774a81f04a93be0497
HGY_1kQTLdyeblDc6Nbt13qiH5oib,restore-base-2310806,equipment,weighted-sled,REVIEW_REQUIRED,Q1,https://restorebase.jp/hyrox/,7475fdc31dcde21af24699664b215dde55cb8b08f4340b933d6056ac2b4947c6
HGY_6okPO396AJbISj7LTMTlrkEPD,samifitness-1060047,equipment,row-erg,REVIEW_REQUIRED,Q1,https://samifitnesstokyo.com/,cd499ed7554979301f2a46cc75460162d350ce8d619d847b273a88ce9e33dd21
HGY_7FDA3W6p88v6evTHGBhfHFrvP,luaana-club-1460082,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q1,https://www.luaanaclub.com/,bdd35b94dd797427596b332e5c8dd0fb5cbe8a31a0490eb9ce0249326e1f70da
HGY_7FDA3W6p88v6evTHGBhfHFrvP,luaana-club-1460082,capability,open-training,CONFIRMED_CANDIDATE,Q1,https://www.luaanaclub.com/,1df46aebb8b8df04ebb33fdeb847e3817b357b5a57640f0202959fd653dffc31
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q1,https://takamatsu-crossfit.jp/hyrox/,2d58e9d7a1a44c747f699deeaaf952dde8abb2068f6eb27b980ccf958984201c
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,equipment,farmers-carry-implements,REVIEW_REQUIRED,Q1,https://takamatsu-crossfit.jp/hyrox/,7ab859151cbd5ed09ad8de63aa94a0c4510f98ffb775eaccadfa7cec1fc4810b
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,equipment,row-erg,REVIEW_REQUIRED,Q1,https://takamatsu-crossfit.jp/hyrox/,8aeb1a61f364f491390b79ac6966e69d0a8fac7d5eb0b46756f65f6ef29d4e44
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,equipment,ski-erg,REVIEW_REQUIRED,Q1,https://takamatsu-crossfit.jp/hyrox/,08c22206f162ac899525856a0b15bec18e9d489581a0bf22a44ab0758bf79ec4
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,equipment,wall-ball-target,REVIEW_REQUIRED,Q1,https://takamatsu-crossfit.jp/hyrox/,fe8847a3577d402a5b638f8f72b936fb096de5c1ac21cf11b78b52eb691ee13a
HGY_c816ru6QeTv14At3O51pjK8au,takamatsu-crossfit,equipment,weighted-sled,REVIEW_REQUIRED,Q1,https://takamatsu-crossfit.jp/hyrox/,e8ff943f69ed0819c6a887fa1b73e8a462c53e792f0a57bbbb7a1644c7778571
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,93db24226bb8128046b9e5c9a0bd6493c567a31efd37a4d028cb51014c3516c8
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,capability,open-training,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,470ee066c46c28fccbb61d67049ce5ad057030eeac8ccd0a18b5024efabc590f
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,capability,sled-push-pull-space,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,50e380721d4333550217ac1b8d704fe27e908d97c01276d1fa9094497889898a
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,c629124d31c15b38843b1a86a9224b7ffc0c1797d1575336b384eda8a652739a
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,functional-training-lane,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,bab792bc901490a9b5bcb43d54e3784bb5823ffcf7898913feb6568545bab02f
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,row-erg,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,b34cf488eefbe21305c5554879c1182037202780a682281497a0b49c10cad563
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,sandbag,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,6b465568472fddcea436d289f2833c09c3b8d53fdd763e23bf06608bae2ec4f3
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,ski-erg,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,6d4353fed09b9a0e4579af017b4cd19eecb5a698d714d3fedfac7511c5226306
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,wall-ball-target,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,bf99fd108275a66e8c4f129780a009b868fb0b7ecbfac56d88216e55ced9c411
HGY_e0rqkrg7L4ataPZD4gGoOL0W9,ufc-gym-1580096,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q1,https://yoga.ufcgym.co.jp/hyrox/,89957643ca9e669a51daa3b81e84c850ec655e6e0c902a8081f13ff2ed1d0280
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,bc12b5c14d9c92bfbe9cada202aa85e563fa636412645aff484980854b165cd9
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,4de28af15da013473ef8a76d2b6f844ef94cfda4d753233210f30df5e7dcbf30
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,3e93385e521f3a010629574a0afab0ba3869b46718b89a023b9160cfd96ff5c7
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,sandbag,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,852c5a433e8bfbce8c04a88b41214442a27a9521487c1c8a2240c63d787ced20
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,ski-erg,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,53a1d98904f1f4dcb3755665c2eb9ab222564592794c45d7e2ba79dbc6e77912
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,treadmill,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,5101f22f1d5f8f4f0314bdf6179d7c53bb69425490acbffdec0cf338d5ab45dc
HGY_f2kvOaab0cCRi8pkmmU0AHBis,golds-gym-13210,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/hamamatsucho-tokyo/,9aad0c535d27a51aff777e36823182e93d02d7d0f3075e7c8b71e42ed7ca2429
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,capability,open-training,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,1dd5eda049929e1efea2f884519e857a2f8992ce2b161f6e4d6d8c09ca471bac
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,capability,sled-push-pull-space,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,0c3d3fccdf87f7da76ecdbc0383444860f9df3b57972bd000aa708bdde6e78a9
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,23adf3ec43f783e001fac0f7c9323fb3f30fda4cfdfe8e0e2072dc5e2f0ae2c1
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,functional-training-lane,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,9e0f2975728380c417edf908443fc326788c2326791fe9cba0bf82f47e5aba59
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,cc3bcc55d6a6b8975febec2ed8f55ac4cedb00142a64ac2447235658c99d1751
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,running-track,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,4089c68cdc5edd4e5c75cd8f3d5cd94c47db25f5269dbd15ebdaf96e2818bec2
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,sandbag,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,c5428513066ea98de9636c7edac48e7faa6cd8e89e11398aec5df35480a5c219
HGY_HfEQpiP2Ha2HB3HYzCFuZJA7R,golds-gym-71221,equipment,treadmill,CONFIRMED_CANDIDATE,Q2,https://www.goldsgym.jp/shop/toyocho-super-center/,b54023fdb7d6ce4fea975ddc4d11ef37fa42f06eb8c34ecc54d86b745459977b
