target_type,target_ref,location_id,hgy_id,target_slug,source_ref,last_confirmed_at,stale_at,evidence_hash
equipment,equipment:295cc8bc-32d9-48f4-8b79-b2f18e85cd78:farmers-carry-implements,295cc8bc-32d9-48f4-8b79-b2f18e85cd78,HGY_n4xTGpLhdouLv9TzuLk2J1OoV,farmers-carry-implements,source:HGY_n4xTGpLhdouLv9TzuLk2J1OoV:otf-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,c9c5b17db900e09953ee266a2cee2f3132a9a142abfb55a59eef41a4caccb0db
equipment,equipment:295cc8bc-32d9-48f4-8b79-b2f18e85cd78:row-erg,295cc8bc-32d9-48f4-8b79-b2f18e85cd78,HGY_n4xTGpLhdouLv9TzuLk2J1OoV,row-erg,source:HGY_n4xTGpLhdouLv9TzuLk2J1OoV:otf-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,5c16d12acf37f02183f5ec2165ff8dd3a308927fdb0653e8c25273eca252e00e
equipment,equipment:295cc8bc-32d9-48f4-8b79-b2f18e85cd78:sandbag,295cc8bc-32d9-48f4-8b79-b2f18e85cd78,HGY_n4xTGpLhdouLv9TzuLk2J1OoV,sandbag,source:HGY_n4xTGpLhdouLv9TzuLk2J1OoV:otf-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,da4b7e77434c89a5b96ad476834ae4fa52a240a936628c2ac4123664ad87941b
equipment,equipment:295cc8bc-32d9-48f4-8b79-b2f18e85cd78:treadmill,295cc8bc-32d9-48f4-8b79-b2f18e85cd78,HGY_n4xTGpLhdouLv9TzuLk2J1OoV,treadmill,source:HGY_n4xTGpLhdouLv9TzuLk2J1OoV:otf-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,156992aec4c4e57fc9f09e9b8b999b4a1b011278de6aeb0de00f31c16c1e9d51
equipment,equipment:295cc8bc-32d9-48f4-8b79-b2f18e85cd78:weighted-sled,295cc8bc-32d9-48f4-8b79-b2f18e85cd78,HGY_n4xTGpLhdouLv9TzuLk2J1OoV,weighted-sled,source:HGY_n4xTGpLhdouLv9TzuLk2J1OoV:otf-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,a52cef4aebe7095b8b246ece0ea137b20287927365cc1c7f98ace63ac3a40f75
equipment,equipment:4a0b9292-1283-49ac-a3b2-c7bd38133a31:farmers-carry-implements,4a0b9292-1283-49ac-a3b2-c7bd38133a31,HGY_u1B3yXynkPyPxOuTQPXyjceFr,farmers-carry-implements,source:HGY_u1B3yXynkPyPxOuTQPXyjceFr:freeletics-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,7163d3cde6705d2ee21761ec62b181a660c3e5b32b110514779ae94486dc5b0c
equipment,equipment:4a0b9292-1283-49ac-a3b2-c7bd38133a31:row-erg,4a0b9292-1283-49ac-a3b2-c7bd38133a31,HGY_u1B3yXynkPyPxOuTQPXyjceFr,row-erg,source:HGY_u1B3yXynkPyPxOuTQPXyjceFr:freeletics-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,90dafff7c53926ee86899577065ad9fa7b1e3a32dd27a87817c37d59c21dbcc6
equipment,equipment:4a0b9292-1283-49ac-a3b2-c7bd38133a31:sandbag,4a0b9292-1283-49ac-a3b2-c7bd38133a31,HGY_u1B3yXynkPyPxOuTQPXyjceFr,sandbag,source:HGY_u1B3yXynkPyPxOuTQPXyjceFr:freeletics-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,9ab8930c87bb91b8d8214fc82b115e5203690a903e89129a73005befc5d12b01
equipment,equipment:4a0b9292-1283-49ac-a3b2-c7bd38133a31:ski-erg,4a0b9292-1283-49ac-a3b2-c7bd38133a31,HGY_u1B3yXynkPyPxOuTQPXyjceFr,ski-erg,source:HGY_u1B3yXynkPyPxOuTQPXyjceFr:freeletics-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,18ca1ff431eab71a43c22c57a0c96e6adfdd33b29734bdb58fbef6575dbeb764
equipment,equipment:4a0b9292-1283-49ac-a3b2-c7bd38133a31:weighted-sled,4a0b9292-1283-49ac-a3b2-c7bd38133a31,HGY_u1B3yXynkPyPxOuTQPXyjceFr,weighted-sled,source:HGY_u1B3yXynkPyPxOuTQPXyjceFr:freeletics-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,ae1d1c4ae6f8cd5cb9b3e2ee9848b18c202753e4f2b6c1a188ef60c58930781e
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:farmers-carry-implements,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,farmers-carry-implements,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,a3788f38f45032f5cff997fd56bbfadf0040141e82e7905c3403492bd44783d5
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:row-erg,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,row-erg,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,5345bfe08d986ddd3a5ecaac1721aa7d06d055695ec3ebbfc2978d4034d8764f
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:sandbag,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,sandbag,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,8b00478f20c91c157289d538c5940c12b30116193b9bb70dd660c7a87a9bcf65
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:ski-erg,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,ski-erg,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,8063b6b1c6d2f8958aaf1da49c8220c5dc1c1dca43e4b9bb45b79dc30fb46692
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:treadmill,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,treadmill,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,f7b71f01c8aca9c73958bf24f687ce366b6f5c6d9fc3a168b87e0a51175f4641
equipment,equipment:569aecf8-aa02-41da-b37a-7e2e20f160fb:weighted-sled,569aecf8-aa02-41da-b37a-7e2e20f160fb,HGY_f2kvOaab0cCRi8pkmmU0AHBis,weighted-sled,source:HGY_f2kvOaab0cCRi8pkmmU0AHBis:golds-hamamatsucho,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,8cb017878430c1ca81a5127f8fd7e8258780ef745079f49fb0d79204218ae681
equipment,equipment:cc8f2cee-62bd-4756-abfd-5f1b27a9c9d4:farmers-carry-implements,cc8f2cee-62bd-4756-abfd-5f1b27a9c9d4,HGY_0PfI4t6UgVADRV7RfgXX48PR8,farmers-carry-implements,source:HGY_0PfI4t6UgVADRV7RfgXX48PR8:field-hyrox,2026-08-30T09:20:04Z,2027-02-26T09:20:04.000Z,cfbeed3e95f9f0d2a2ad6ad6e0052af5ec4421d5b34f5daf5becfeb8efc619a4
