hgy_id,location,brand,kind,slug,classification,quality,source_url,excerpt
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ローイングマシンでの持久力&パワートレーニング
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,公式器具としてスレッドを完備
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ファーマーズキャリーを使ったトレーニング
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,sandbag,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,公式器具としてサンドバッグを完備
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,treadmill,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,トレッドミルによる持久力&スピードトレーニング
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,認定コーチが一人ひとりのレベルに合わせて指導
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,capability,competition-simulation,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,全15店舗にて本番さながらのトレーニングクラスを開催
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,wall-ball-target,REVIEW_REQUIRED,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ウォールボールを使ったトレーニング
HGY_AoLBcMl9MBTosyMcyW5KxrTM4,オレンジセオリーフィットネス三鷹,Orangetheory Fitness,equipment,ski-erg,OBSERVED_NOT_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,HYROXの8種目説明にスキーエルゴを掲載
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ローイングマシンでの持久力&パワートレーニング
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,公式器具としてスレッドを完備
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ファーマーズキャリーを使ったトレーニング
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,sandbag,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,公式器具としてサンドバッグを完備
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,treadmill,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,トレッドミルによる持久力&スピードトレーニング
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,capability,discipline-coaching,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,認定コーチが一人ひとりのレベルに合わせて指導
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,capability,competition-simulation,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,全15店舗にて本番さながらのトレーニングクラスを開催
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,wall-ball-target,REVIEW_REQUIRED,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ウォールボールを使ったトレーニング
HGY_B9sy6uIdHbgwEkUt5vKBAigMH,オレンジセオリーフィットネス下北沢,Orangetheory Fitness,equipment,ski-erg,OBSERVED_NOT_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,HYROXの8種目説明にスキーエルゴを掲載
HGY_CckOFxMw5VG60QfRbUzlk3VMy,千葉ニュータウン,Gold's Gym,capability,discipline-coaching,REVIEW_REQUIRED,Q2,https://www.goldsgym.jp/shop/chiba-newtown/,HYROX Circuit Trainingも実施中
HGY_CckOFxMw5VG60QfRbUzlk3VMy,千葉ニュータウン,Gold's Gym,equipment,sandbag,OBSERVED_NOT_CANDIDATE,Q2,https://www.goldsgym.jp/shop/chiba-newtown/,ロープやサンドバッグなど様々なトレーニング
HGY_fd08dzI687maGklD0PMhGHHZ7,オレンジセオリーフィットネス東久留米,Orangetheory Fitness,equipment,row-erg,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ローイングマシンでの持久力&パワートレーニング
HGY_fd08dzI687maGklD0PMhGHHZ7,オレンジセオリーフィットネス東久留米,Orangetheory Fitness,equipment,weighted-sled,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,公式器具としてスレッドを完備
HGY_fd08dzI687maGklD0PMhGHHZ7,オレンジセオリーフィットネス東久留米,Orangetheory Fitness,equipment,farmers-carry-implements,CONFIRMED_CANDIDATE,Q2,https://www.orangetheoryfitness.co.jp/hyrox/,ファーマーズキャリーを使ったトレーニング
