"official_name","official_external_id","official_address","official_source_url","gymmap_location_id","gymmap_slug","gymmap_name","resolution_status","match_method","score","coordinate_distance_meters","reasons","conflicts","manual_review_required"
"A Plus CrossFit Hommachi","HGY_ggiypcl6YAe0R2gIgSqkB9xwp","","https://hyrox-training-finder.hyrox.com/gym/HGY_ggiypcl6YAe0R2gIgSqkB9xwp","","","","SOURCE_INCOMPLETE","source-required-fields-missing","","","official source lacks stable identity, name, or usable location data","repeated coordinate without address treated as a source placeholder","true"
"A Plus CrossFit Takatsuki","HGY_vVcITNYTt6vBwAbMaLQj58wcw","5691121, Takatsuki, 1-15-22 Makamicho","https://hyrox-training-finder.hyrox.com/gym/HGY_vVcITNYTt6vBwAbMaLQj58wcw","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
"ableize+","HGY_iZUzR5DRBK3M09AkhPf9nIWcF","460-0002, 名古屋市, 中区丸の内2-15-11","https://hyrox-training-finder.hyrox.com/gym/HGY_iZUzR5DRBK3M09AkhPf9nIWcF","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
"Anim Movement Club","HGY_w1kFjCWRyoM7EmvP3I9DYLtEt","1560032, Setagaya, Daizawa2-40-10","https://hyrox-training-finder.hyrox.com/gym/HGY_w1kFjCWRyoM7EmvP3I9DYLtEt","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
"ANYTIME FITNESS NAGAOKAKYO","HGY_IXvBUmAfS03dK1N7KeulKnC6O","6170826, 長岡京市, 開田4-22-5","https://hyrox-training-finder.hyrox.com/gym/HGY_IXvBUmAfS03dK1N7KeulKnC6O","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
"Anytimefitness Urawanakao","HGY_tvAvxxWuvtyhwO9dVyMWgnozo","336-0932, Nakao, Midori-ku, Saitama-shi,Saitama, 524-1","https://hyrox-training-finder.hyrox.com/gym/HGY_tvAvxxWuvtyhwO9dVyMWgnozo","","","","UNMATCHED","no-plausible-existing-location","35","1377.3281267036305","postal code exact; prefecture exact","","true"
"ARQ","HGY_AtvMure1xIvHhFKf1bEcOksKK","1020074, Tokyo, Kudanshita Minami 2-3-23","https://hyrox-training-finder.hyrox.com/gym/HGY_AtvMure1xIvHhFKf1bEcOksKK","","","","UNMATCHED","no-plausible-existing-location","10","889.3094029575997","prefecture exact; coordinates within 1km","","true"
"B-fitPrime服部緑地","HGY_sm5NKgjNHsZ3iblInhUUK5sXp","561-0873, 大阪府, 大阪府豊中市服部緑地1番68号SPA&SAUNA水春服部緑地1F","https://hyrox-training-finder.hyrox.com/gym/HGY_sm5NKgjNHsZ3iblInhUUK5sXp","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
"B-Revolution×溝の口整体院","HGY_wre6YfUPBNkfwFN4kIJmeR5gk","213-0001, 神奈川県, 川崎市, 高津区溝の口 3-9-3佐保田ビルB1","https://hyrox-training-finder.hyrox.com/gym/HGY_wre6YfUPBNkfwFN4kIJmeR5gk","","","","UNMATCHED","no-plausible-existing-location","47","434.2874025110908","postal code exact; prefecture exact; coordinates within 500m","","true"
"BANYAN ROOTS Fitness","HGY_qaUKe9XHM4Dt1rhd2sHFQEumQ","9012401, 中頭郡中城村, 久場1955","https://hyrox-training-finder.hyrox.com/gym/HGY_qaUKe9XHM4Dt1rhd2sHFQEumQ","","","","UNMATCHED","no-plausible-existing-location","","","","","true"
